"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category"
"AfdDisableAddressSharing",,"System Services Afd DisableAddressSharing","HKLM:\SYSTEM\CurrentControlSet\Services\Afd\Parameters","DisableAddressSharing","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowAnonymousSIDOrNameTranslation","CCE-10024-8","Network access: Allow anonymous SID/Name translation",,,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_AllowAnonymousSIDOrNameTranslation","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Warning","Domain Controller, Member Server, Workgroup Member","Security Policy"
"AllowCustomSSPAPIntoLSASS",,"Allow Custom SSPs and APs to be loaded into LSASS","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowCustomSSPsAPs","REG_DWORD",,,,"0","1","1","Range(0, 1)","Equals(0)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowedToFormatAndEjectRemovableMedia","CCE-37701-0","Devices: Allowed to format and eject removable media","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AllocateDASD","REG_SZ","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Devices_AllowedToFormatAndEjectRemovableMedia","String","0","0","0","Range(0, 1)","OneOf(Equals('0'), Equals(''))","OneOf(Equals('0'), Equals(''))","OneOf(Equals('0'), Equals(''))","Warning","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowICMPRedirectsToOverrideOSPFGeneratedRoutes","AZ-WIN-73503","MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowLocalSystemNULLSessionFallback","CCE-37035-3","Network security: Allow LocalSystem NULL session fallback","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0","allownullsessionfallback","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemNULLSessionFallback","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowLocalSystemToUseComputerIdentityForNTLM","CCE-38341-4","Network security: Allow Local System to use computer identity for NTLM","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","UseMachineId","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemToUseComputerIdentityForNTLM","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowPKU2UAuthenticationAllowOnlineID","CCE-38047-7","Network Security: Allow PKU2U authentication requests to this computer to use online identities","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\pku2u","AllowOnlineID","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowSystemToBeShutDownWithoutHavingToLogOn","CCE-36788-8","Shutdown: Allow system to be shut down without having to log on","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ShutdownWithoutLogon","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_AllowSystemToBeShutDownWithoutHavingToLogOn","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowTheComputerToIgnoreNetBIOSNameReleaseRequestsExceptFromWINSServers","AZ-WIN-202214","MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers","HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters","NoNameReleaseOnDemand","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
