"Name","ExtraId","Control Name","Registry Key","Registry Value","CSP Name","CSP Path(s)","Data Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Severity","Availability","Category"
"AfdDisableAddressSharing",,"System Services Afd DisableAddressSharing","HKLM:\SYSTEM\CurrentControlSet\Services\Afd\Parameters","DisableAddressSharing",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowAnonymousSIDOrNameTranslation","CCE-10024-8","Network access: Allow anonymous SID/Name translation",,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_AllowAnonymousSIDOrNameTranslation","Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Security Policy"
"AllowCustomSSPAPIntoLSASS",,"Allow Custom SSPs and APs to be loaded into LSASS","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowCustomSSPsAPs",,,"Number","0","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowedToFormatAndEjectRemovableMedia","CCE-37701-0","Devices: Allowed to format and eject removable media","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AllocateDASD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Devices_AllowedToFormatAndEjectRemovableMedia","String","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowICMPRedirectsToOverrideOSPFGeneratedRoutes","AZ-WIN-73503","Windows Server must be configured to prevent Internet Control Message Protocol (ICMP) redirects from overriding Open Shortest Path First (OSPF)-generated routes.","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect",,,"Number","0","0","0","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowLocalSystemNULLSessionFallback","CCE-37035-3","Network security: Allow LocalSystem NULL session fallback","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0","allownullsessionfallback","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemNULLSessionFallback","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowLocalSystemToUseComputerIdentityForNTLM","CCE-38341-4","Network security: Allow Local System to use computer identity for NTLM","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","UseMachineId","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemToUseComputerIdentityForNTLM","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowPKU2UAuthenticationAllowOnlineID","CCE-38047-7","Network Security: Allow PKU2U authentication requests to this computer to use online identities","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\pku2u","AllowOnlineID",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AllowSystemToBeShutDownWithoutHavingToLogOn","CCE-36788-8","Shutdown: Allow system to be shut down without having to log on","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ShutdownWithoutLogon","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_AllowSystemToBeShutDownWithoutHavingToLogOn","Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Security Options"
"AllowTheComputerToIgnoreNetBIOSNameReleaseRequestsExceptFromWINSServers","AZ-WIN-202214","MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers","HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters","NoNameReleaseOnDemand",,,"Number","1","1","1","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
