"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value","Allowed Value","Expected Value","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"AllowDatagramProcessingOnWinServer",,"This setting controls datagram processing for Network Protection is enabled on Server","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS\Consumers\IPS","AllowDatagramProcessingOnWinServer","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Controls datagram processing for Network Protection on Windows Server. Enables network-level protection against web-based threats.","NA","NA","WNDF-AV-000012","SI-3","Disabling removes network-layer threat protection, exposing the server to web-based attacks and malicious network traffic.","Medium - Disabling reduces defense-in-depth; verify no third-party network protection replaces it."
"AllowNetworkProtectionOnWinServer",,"This setting controls whether Network Protection is allows to be configured into block or Audit mode on Windows Server","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection","AllowNetworkProtectionOnWinServer","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Enables Microsoft Defender Network Protection on Windows Server, blocking connections to malicious domains and IPs.","NA","NA","WNDF-AV-000012","SI-3","Disabling removes DNS/IP reputation blocking, allowing connections to known malicious endpoints.","Medium - Disabling weakens network threat protection; may be needed if third-party proxy/firewall handles this."
"ASRBlockAbuseOfExploitedVulnerableSignedDrivers",,"Block abuse of exploited vulnerable signed drivers","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","56a863a9-875e-4185-98a7-b882c64b5ce5","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks applications from writing vulnerable signed drivers to disk, preventing kernel-level exploits.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000051","SC-18(4)","Disabling allows exploitation of vulnerable signed drivers for kernel-level privilege escalation.","Medium - Disabling exposes to driver-based exploits; audit mode recommended for initial deployment."
"ASRBlockAdobeReaderFromCreatingChildProcesses",,"Block Adobe Reader from creating child processes","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that prevents Adobe Reader from creating child processes, blocking PDF-based malware execution chains.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000043","SC-18(4)","Disabling allows PDF documents to launch arbitrary processes via Adobe Reader.","Low - Server environments rarely use Adobe Reader; minimal operational impact."
"ASRBlockEXEFromEmailClientAndWebmail",,"Block executable content from email client and webmail","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","be9ba2d9-53ea-4cdc-84e5-9b1eeee46550","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks executable content from email clients and webmail, preventing email-based malware delivery.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000032","SC-18(4)","Disabling allows email-delivered executables to run directly from mail clients.","Low - Servers typically do not run email clients; minimal operational impact."
"ASRBlockEXEFromRunningUnlessTrusted",,"Block executable files from running unless they meet a prevalence, age, or trusted list criterion","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","01443614-cd74-433a-b99e-2ecdc07bfc25","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks executables from running unless they meet prevalence, age, or trusted list criteria.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000028","SI-3","Disabling allows unknown or untrusted executables to run without reputation checks.","Medium - May block legitimate but uncommon tools; test in audit mode first."
"ASRBlockJSVBSLaunchingDownloadedContent",,"Block JavaScript or VBScript from launching downloaded executable content","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","d3e037e1-3eb8-44c8-a917-57927947596d","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks JavaScript and VBScript from launching downloaded executable content.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000036","SC-18(4)","Disabling allows script-based download-and-execute attack chains.","Low - Server workloads rarely depend on JS/VBS downloading executables."
"ASRBlockLSASSCredentialStealing",,"Block credential stealing from the Windows local security authority subsystem (lsass.exe)","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks credential theft from the LSASS process, preventing tools like Mimikatz from harvesting credentials.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000044","SC-18(4)","Disabling allows credential dumping tools to extract passwords and hashes from memory.","High - Critical credential protection; disabling creates severe credential theft risk."
"ASRBlockOfficeApplicationsFromCreatingChildProcesses",,"Block all Office applications from creating child processes","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","d4f940ab-401b-4efc-aadc-ad5f3c50688a","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks Office applications from creating child processes, preventing macro-based malware execution.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000033","SC-18(4)","Disabling allows Office macros to launch arbitrary processes.","Low - Servers rarely run Office applications interactively."
"ASRBlockOfficeCommunicationApplicationFromCreatingChildProcesses",,"Block Office communication application from creating child processes","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","26190899-1602-49e8-8b27-eb1d0a1ce869","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks Office communication apps (e.g., Outlook) from creating child processes.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000050","SC-18(4)","Disabling allows communication apps to launch arbitrary child processes.","Low - Servers rarely run Outlook or Teams interactively."
