"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value","Allowed Value","Expected Value","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"PasswordBackup",,"Enforce password backup","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","BackupDirectory","REG_DWORD",,,,"1","Range(0, 2)","OneOf(Equals(1), Equals(2))","Critical","Member Server","Registry","Configures where LAPS backs up the local admin password. Value 2 = Active Directory, ensuring centralized secure storage.","18.9.26.1","NA","NA","IA-5, AC-6","Not backing up to AD means local admin passwords are not centrally managed or recoverable.","High - Password backup location is critical; changing from AD breaks centralized password management."
"PasswordComplexity",,"Enforce password complexity","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PasswordComplexity","REG_DWORD",,,,"4","Range(1, 4)","Equals(4)","Critical","Member Server","Registry","Sets the complexity requirements for LAPS-generated passwords. Value 4 = large letters, small letters, numbers, and special characters.","18.9.26.4","5.2 (IG1)","NA","IA-5","Lowering complexity reduces password strength, increasing brute-force vulnerability.","Medium - Lower complexity weakens local admin account security."
"PasswordLength",,"Enforce minimum password length","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PasswordLength","REG_DWORD",,,,"15","Range(8, 64)","Range(15, 64)","Critical","Member Server","Registry","Sets the minimum length for LAPS-generated passwords. Baseline requires 15+ characters.","18.9.26.5","5.2 (IG1)","NA","IA-5","Shorter passwords are easier to crack; 15 characters provides strong protection against brute-force.","Medium - Reducing length weakens password security proportionally."
"PassphraseLength",,"Enforce minimum passphrase length","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PassphraseLength","REG_DWORD",,,,"6","Range(3, 10)","Range(6, 10)","Critical","Member Server","Registry","Sets the minimum length for LAPS-generated passphrases (word-based passwords). Baseline requires 6+ words.","18.9.26.4","5.2 (IG1)","NA","IA-5","Shorter passphrases reduce entropy and are more susceptible to dictionary attacks.","Low - Passphrase length is a secondary control if password mode is used."
"PasswordAge",,"Enforce password age in days","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PasswordAgeDays","REG_DWORD",,,,"30","Range(1, 365)","Range(30, 365)","Critical","Member Server","Registry","Sets the maximum age in days for LAPS-managed passwords before automatic rotation. Baseline allows 30-365 days.","18.9.26.6","5.2 (IG1)","NA","IA-5","Longer rotation periods increase the window of exposure if a password is compromised.","Medium - Balance between security (shorter) and operational burden (longer)."
"PostAuthActions",,"Enforce post-authentication actions","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PostAuthenticationActions","REG_DWORD",,,,"3","Range(1, 3)","Equals(3)","Critical","Member Server","Registry","Configures actions after the LAPS-managed account authenticates: reset password, logoff, reboot. Value 3 = reset password + reboot.","18.9.26.8","NA","NA","IA-5, AC-11","Weaker post-auth actions leave the rotated-out password valid longer than necessary.","Medium - Post-auth actions ensure compromised credentials are invalidated promptly."
"PostAuthGracePeriod",,"Enforce post-authentication reset delay","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PostAuthenticationResetDelay","REG_DWORD",,,,"8","Range(1, 24)","Range(8, 24)","Critical","Member Server","Registry","Sets the grace period (in hours) after authentication before post-authentication actions are triggered. Baseline allows 8-24 hours.","18.9.26.7","NA","NA","IA-5, AC-11","Longer grace periods delay password rotation after use, extending exposure window.","Low - Grace period balances security with operational usability."
"AdminAccountName",,"Enforce administrator account name","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","AdministratorAccountName","REG_SZ",,,,,,,"Critical","Member Server","Registry","Specifies which local administrator account LAPS manages. If null, manages the built-in Administrator (RID 500).","NA","NA","NA","AC-2, IA-5","Misconfiguring the account name causes LAPS to manage the wrong account or no account.","Medium - Must point to the correct local admin account; misconfiguration breaks LAPS management."
"PasswordEncryption",,"Enforce password encryption","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","ADPasswordEncryptionEnabled","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Member Server","Registry","Enables encryption of LAPS passwords stored in Active Directory. Requires Windows Server 2016+ domain functional level.","18.9.26.3","3.10 (IG1)","NA","IA-5, SC-28","Disabling stores passwords in cleartext in AD, readable by any account with read access to the attribute.","High - Password encryption is critical; cleartext storage in AD is a severe security risk."
"AuthorizedDecryptors",,"Enforce authorized password decryptors","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","ADPasswordEncryptionPrincipal","REG_SZ",,,,,,,"Critical","Member Server","Registry","Specifies which principals can decrypt LAPS-encrypted passwords in AD. Controls access to local admin credentials.","NA","NA","NA","AC-6, IA-5, SC-28","Misconfiguring decryptors can lock out password recovery or grant access to unauthorized principals.","Medium - Access control for encrypted passwords; misconfiguration affects recoverability."
"EncryptedPasswordHistory",,"Enforce encrypted password history size","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","ADEncryptedPasswordHistorySize","REG_DWORD",,,,"0","Range(0, 12)","Range(0, 12)","Critical","Member Server","Registry","Sets the number of encrypted password history entries stored in AD. Baseline allows 0-12.","NA","NA","NA","IA-5","History enables recovery of previous passwords if needed; too many increases storage and exposure.","Low - Password history is a recoverability feature; minimal security impact."
"ExpirationProtection",,"Enforce password expiration protection","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS","PasswordExpirationProtectionEnabled","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Member Server","Registry","Enables protection against password expiration tampering, ensuring LAPS-managed passwords are rotated on schedule.","18.9.26.2","NA","NA","IA-5, CM-6","Disabling allows manipulation of password expiration timestamps, preventing automatic rotation.","Medium - Ensures passwords are rotated even if expiration metadata is tampered with."
