"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"AfdDisableAddressSharing",,"System Services Afd DisableAddressSharing","HKLM:\SYSTEM\CurrentControlSet\Services\Afd\Parameters","DisableAddressSharing","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'System Services Afd DisableAddressSharing' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","CM-6, CM-7","Hardens the Ancillary Function Driver (AFD) by disabling socket address sharing, reducing local socket-hijacking opportunities.","Low - Low-level network-stack hardening; minimal application impact."
"AllowAnonymousSIDOrNameTranslation","CCE-10024-8","Network access: Allow anonymous SID/Name translation",,,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_AllowAnonymousSIDOrNameTranslation","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Warning","Domain Controller, Member Server, Workgroup Member","Security Policy","Controls the 'Network access: Allow anonymous SID/Name translation' right, limiting it to authorized accounts to reduce attack surface.","2.3.10.1","Not Mapped","NA","AC-14, AC-17, AC-2, AC-3, AC-6, SC-7","Disables anonymous SID-to-name translation, preventing unauthenticated callers from mapping SIDs to account names for reconnaissance.","Low - Standard hardening; rarely affects domain operations."
"AllowCustomSSPAPIntoLSASS",,"Allow Custom SSPs and APs to be loaded into LSASS","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowCustomSSPsAPs","REG_DWORD",,,,"0","1","1","Range(0, 1)","Equals(0)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls loading of custom Security Support Providers into LSASS.","2.3.11.1","6.8 (IG3)","WN25-SO-000110","SC-8, SC-8(1)","Restricts loading of custom security packages into LSASS, reducing the chance of malicious authentication packages harvesting credentials.","Medium - Validate legitimate third-party SSP/AP before enforcing."
"AllowedToFormatAndEjectRemovableMedia","CCE-37701-0","Devices: Allowed to format and eject removable media","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AllocateDASD","REG_SZ","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Devices_AllowedToFormatAndEjectRemovableMedia","String","0","0","0","Range(0, 1)","OneOf(Equals('0'), Equals(''))","OneOf(Equals('0'), Equals(''))","OneOf(Equals('0'), Equals(''))","Warning","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'Devices: Allowed to format and eject removable media' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","AC-2, AC-6","Restricts which users may format and eject removable media interactively, limiting console-side data-handling to authorized roles.","Low - Affects interactive media handling; minimal impact."
"AllowICMPRedirectOverrideOSPF","AZ-WIN-73503","MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' per security baseline requirements to enforce organizational security policy.","18.5.4","4.1 (IG1, IG2, IG3)","WN25-CC-000050","CM-6","Legacy MSS network/kernel hardening '(EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes'. Tightens older TCP/IP and DLL-search behaviors (source routing, NetBIOS name release, DLL search order) to the recommended safer values.","Low - Long-standing hardening values; minimal modern compatibility impact."
"AllowLocalSystemNULLSessionFallback","CCE-37035-3","Network security: Allow LocalSystem NULL session fallback","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0","AllowNullSessionFallback","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemNULLSessionFallback","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'Network security: Allow LocalSystem NULL session fallback' per security baseline requirements to enforce organizational security policy.","2.3.11.2","Not Mapped","WN25-SO-000270","CM-6","Disables NULL-session fallback for the LocalSystem account (set to 0), so LocalSystem can no longer fall back to unauthenticated null-credential NTLM sessions. This removes an anonymous authentication path that could be used for credential-less enumeration or relay.","Low - Disabling null-session fallback rarely affects modern services; validate legacy apps that rely on anonymous LocalSystem connections."
"AllowLocalSystemToUseComputerIdentityForNTLM","CCE-38341-4","Network security: Allow Local System to use computer identity for NTLM","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","UseMachineId","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_AllowLocalSystemToUseComputerIdentityForNTLM","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'Network security: Allow Local System to use computer identity for NTLM' per security baseline requirements to enforce organizational security policy.","2.3.11.1","Not Mapped","WN25-SO-000260","CM-6","Configures whether Local System uses the computer identity for NTLM, ensuring consistent, expected service authentication behavior.","Low - Standard authentication behavior; minimal impact."
"AllowPKU2UAuthenticationAllowOnlineID","CCE-38047-7","Network Security: Allow PKU2U authentication requests to this computer to use online identities","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\pku2u","AllowOnlineID","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' per security baseline requirements to enforce organizational security policy.","2.3.11.3","4.1 (IG1, IG2, IG3)","WN25-SO-000280","CM-6","Allows this computer to accept PKU2U authentication requests that use online identities (the baseline sets AllowOnlineID to 1). Although STIG/CIS historically disable PKU2U, this baseline intentionally enables it because failover clustering relies on PKU2U for node-to-node authentication using Microsoft-trusted online identities. Setting it to 0 would confine authentication to domain/AD identities and can break cluster node communication and other online-identity peer logons.","Low - Changing to disabled can break failover-cluster node or online-identity authentication scenarios; validate before deviating."
"AllowPrintSpoolerClientConnections","TBD","Allow Print Spooler to accept client connections","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers","RegisterSpoolerRemoteRpcEndPoint","REG_DWORD",,,,"2",,,"Range(1, 2)","Equals(2)",,,"Critical","Domain Controller","Registry","Controls whether the Print Spooler accepts remote client connections. Setting to 2 prevents exploitation vectors like PrintNightmare.","18.7.1","4.1 (IG1, IG2, IG3)","NA","CM-6, CM-7","Prevents the Print Spooler from accepting remote client connections, mitigating PrintNightmare-class remote spooler abuse while preserving local printing.","Medium - Host cannot act as a print server; validate shared-printer needs."
"AllowSystemToBeShutDownWithoutHavingToLogOn","CCE-36788-8","Shutdown: Allow system to be shut down without having to log on","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ShutdownWithoutLogon","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_AllowSystemToBeShutDownWithoutHavingToLogOn","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'Shutdown: Allow system to be shut down without having to log on' per security baseline requirements to enforce organizational security policy.","2.3.13.1","Not Mapped","NA","AC-2, AC-6, CM-6","Controls whether the host can be shut down from the logon screen without authenticating, limiting unauthenticated denial-of-availability at the console.","Low - Affects console shutdown convenience; minimal impact."
